tier,new,ticker,price,cap_b,macd,exit_40d_low,exit_dist,to_2y_high,overhead,ceilings,base_25d,above_50d,chan_pct_yr,z,off_hi,sector,industry,flags
"A","NEW","LXFR","17.27","0.46","0.00% away, rising","16.05","-7.1","10.5","5.1","1","1.3","Y","102","-1.1","-9.5","Basic Materials","Major Chemicals",""
"A","NEW","GFF","96.08","4.41","0.25% away, rising","86.17","-10.3","11.6","5.2","1","10.9","n","53","-0.83","-10.4","Industrials","Building Products",""
"A","NEW","NEU","882.3","8.17","0.34% away, rising","775.04","-12.2","9.0","5.8","1","9.8","Y","126","-1.47","-8.3","Industrials","Major Chemicals",""
"A","NEW","MCS","27.52","0.86","0.26% away, rising","24.48","-11.0","13.1","6.2","1","14.4","n","252","-1.32","-11.6","Consumer Discretionary","Movies/Entertainment",""
"A","NEW","WKC","35.81","1.83","cross 5d","35.01","-2.2","12.4","6.4","1","4.2","n","188","-1.77","-11.0","Energy","Oil Refining/Marketing",""
"A","NEW","PTGX","142.53","9.39","0.57% away, rising","132.28","-7.2","11.3","6.4","1","10.4","n","204","-1.45","-10.1","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"A","NEW","ODC","91.85","1.32","cross 4d","85.84","-6.5","15.9","9.2","1","7.8","n","92","-0.96","-13.7","Consumer Discretionary","Miscellaneous manufacturing indust",""
"A","NEW","BJRI","60.27","1.31","0.00% away, rising","58.82","-2.4","23.2","9.4","1","14.4","n","340","-2.09","-18.8","Consumer Discretionary","Restaurants",""
"A","NEW","NRIX","25.11","2.66","0.60% away, rising","23.21","-7.6","12.1","9.4","1","11.9","n","301","-1.35","-9.6","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"B","NEW","DGII","74.31","2.84","cross 3d","65.53","-11.8","14.7","3.4","1","21.6","Y","106","-0.81","-12.8","Telecommunications","Computer Communications Equipment",""
"B","NEW","SEPN","39.12","1.88","cross 1d","33.49","-14.4","23.2","3.4","1","19.5","Y","256","-1.29","-18.8","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
