tier,new,ticker,price,cap_b,macd,exit_40d_low,exit_dist,to_2y_high,overhead,ceilings,base_25d,above_50d,chan_pct_yr,z,off_hi,sector,industry,flags
"B","","WLY","48.61","2.46","0.17% away, rising","47.02","-3.3","14.6","19.2","3","14.9","n","93","-1.85","-12.8","Consumer Discretionary","Books",""
"B","NEW","WNC","13.03","0.48","0.37% away, rising","11.67","-10.4","55.5","23.2","3","22.2","Y","266","-0.62","-8.9","Industrials","Construction/Ag Equipment/Trucks",""
"B","NEW","ASH","69.06","3.16","0.44% away, rising","69.01","-0.1","27.1","24.0","4","9.6","n","111","-2.02","-9.7","Consumer Discretionary","Specialty Chemicals",""
"B","NEW","AVNT","41.28","3.74","0.38% away, rising","36.32","-12.0","28.8","26.3","4","11.0","n","54","-0.42","-10.9","Industrials","Major Chemicals",""
"B","","KFRC","51.56","0.92","cross 1d","51.14","-0.8","21.2","28.9","3","14.2","n","230","-1.77","-14.7","Consumer Discretionary","Professional Services",""
"B","","TRNS","87.73","0.81","cross 5d","81.0","-7.7","51.3","29.4","6","14.2","n","40","-0.7","-10.3","Industrials","Electrical Products",""
"B","","PCRX","25.12","1.02","0.05% away, rising","23.0","-8.4","10.0","29.5","3","11.6","n","20","-0.34","-9.1","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"B","NEW","ASTH","36.37","1.71","0.49% away, rising","33.55","-7.8","72.0","31.6","7","18.0","n","36","-0.96","-27.0","Consumer Discretionary","Professional Services",""
"B","","CBRL","51.81","1.16","cross 2d","43.22","-16.6","38.7","34.8","5","35.5","n","414","-1.4","-12.2","Consumer Discretionary","Restaurants",""
"B","","SKY","87.72","4.65","cross 4d","79.61","-9.2","24.2","37.9","4","12.2","Y","54","-0.39","-8.9","Consumer Discretionary","Homebuilding",""
"B","","IART","16.12","1.24","cross 4d","15.1","-6.3","65.6","42.5","5","12.1","n","177","-1.28","-18.8","Health Care","Medical/Dental Instruments",""
"B","NEW","ELF","99.51","5.93","0.48% away, rising","82.26","-17.3","47.4","43.1","7","17.5","Y","320","-0.36","-9.3","Consumer Discretionary","Package Goods/Cosmetics",""
"B","","IPAR","117.93","3.71","cross 4d","109.99","-6.7","22.6","43.5","3","7.5","n","105","-0.82","-8.3","Consumer Discretionary","Package Goods/Cosmetics",""
"B","NEW","AXTA","32.89","6.9","0.45% away, rising","31.86","-3.1","25.5","44.4","4","16.2","n","78","-1.95","-13.9","Consumer Discretionary","Paints/Coatings",""
"B","NEW","ACIW","49.51","5.01","0.41% away, rising","49.19","-0.6","21.6","47.7","5","10.2","n","90","-1.69","-17.7","Technology","Computer Software: Prepackaged Sof",""
"B","","CSW","296.8","4.8","cross 3d","287.68","-3.1","45.6","48.5","6","14.7","n","35","-0.75","-15.5","Industrials","Home Furnishings",""
"B","NEW","DSP","12.19","0.82","0.37% away, rising","10.02","-17.8","112.9","49.7","7","36.3","n","48","-0.94","-13.5","Technology","Computer Software: Programming Dat",""
"B","NEW","AGIO","32.58","1.96","cross 5d","30.02","-7.9","89.2","60.4","5","7.3","n","55","-0.87","-26.0","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"B","","TREX","44.79","4.4","cross 1d","42.69","-4.7","78.3","65.2","6","10.7","n","44","-0.88","-10.6","Basic Materials","Forest Products",""
"B","","BHVN","12.99","1.99","cross 4d","12.02","-7.5","313.7","68.7","10","41.0","n","199","-1.69","-23.4","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"C","NEW","DNOW","15.93","2.88","0.24% away, rising","13.74","-13.7","10.4","12.6","2","5.2","Y","86","-0.31","-5.4","Consumer Discretionary","Oil and Gas Field Machinery",""
"C","","WRBY","26.71","3.25","cross 2d","22.5","-15.8","13.6","16.4","3","22.0","Y","16","0.18","-12.0","Health Care","Ophthalmic Goods",""
"C","","EPC","27.82","1.26","cross 1d","26.64","-4.2","37.5","37.8","6","9.0","n","143","-0.63","-6.2","Consumer Discretionary","Package Goods/Cosmetics",""
"C","NEW","HNI","47.21","3.37","0.23% away, rising","43.58","-7.7","21.8","38.7","5","8.8","Y","172","-0.57","-5.5","Consumer Discretionary","Office Equipment/Supplies/Services",""
"C","","DFIN","48.92","1.21","cross 1d","47.03","-3.9","41.7","58.7","7","7.4","Y","22","0.24","-7.7","Consumer Discretionary","Other Consumer Services",""
