tier,new,ticker,price,cap_b,macd,exit_40d_low,exit_dist,to_2y_high,overhead,ceilings,base_25d,above_50d,chan_pct_yr,z,off_hi,sector,industry,flags
"A","","GFF","98.39","4.37","cross 3d","86.17","-12.4","9.0","3.8","1","9.3","Y","45","-0.35","-8.2","Industrials","Building Products",""
"A","","MCS","28.09","0.87","cross 2d","27.02","-3.8","10.8","4.8","1","14.4","Y","248","-1.16","-9.7","Consumer Discretionary","Movies/Entertainment",""
"A","NEW","VCTR","108.75","6.53","0.50% away, rising","98.48","-9.4","11.4","5.0","1","16.8","Y","189","-1.53","-10.2","Finance","Investment Managers",""
"A","","BJRI","60.13","1.32","cross 4d","58.82","-2.2","23.5","10.4","1","14.4","n","310","-1.99","-19.0","Consumer Discretionary","Restaurants",""
"B","NEW","VAC","102.82","3.47","0.04% away, rising","97.4","-5.3","21.3","4.8","1","18.1","n","196","-1.68","-17.6","Finance","Real Estate",""
"B","","CAKE","104.49","5.23","cross 1d","95.87","-8.2","12.2","5.6","1","20.3","Y","406","-1.45","-10.9","Consumer Discretionary","Restaurants",""
"B","","TILE","35.2","2.03","cross 1d","33.8","-4.0","11.7","5.8","2","15.1","n","114","-1.69","-10.5","Consumer Discretionary","Home Furnishings",""
"B","NEW","QLYS","172.43","6.33","cross 5d","141.71","-17.8","13.6","6.0","1","25.5","Y","660","-2.02","-12.0","Technology","Computer Software: Prepackaged Sof",""
"B","","SEPN","37.77","1.78","cross 4d","34.45","-8.8","27.6","6.7","1","12.4","n","245","-1.69","-21.6","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"B","NEW","EAT","207.2","8.63","0.57% away, rising","196.71","-5.1","22.6","6.8","1","29.1","n","256","-1.42","-18.4","Consumer Discretionary","Restaurants",""
"B","NEW","UMAC","24.05","1.2","cross 1d","20.51","-14.7","41.6","7.0","1","24.6","Y","253","-0.7","-29.4","Technology","Radio And Television Broadcasting ",""
"B","","MYE","31.36","1.19","cross 5d","29.77","-5.1","17.2","7.4","2","12.6","n","218","-1.58","-14.6","Industrials","Plastic Products",""
"B","","DCO","172.15","2.64","cross 4d","164.5","-4.4","20.2","8.0","2","16.5","n","95","-1.46","-16.8","Industrials","Military/Government/Technical",""
"B","","VSXY","82.91","6.69","cross 5d","72.58","-12.5","20.6","8.0","2","25.1","n","301","-1.15","-17.1","Consumer Discretionary","Clothing/Shoe/Accessory Stores",""
"B","NEW","KYMR","111.95","9.63","cross 4d","100.31","-10.4","13.7","9.0","2","13.1","n","171","-1.23","-12.1","Health Care","Biotechnology: Biological Products","BIOTECH"
"B","","MITK","17.66","0.82","cross 2d","16.7","-5.4","14.0","9.2","2","14.8","n","79","-1.18","-12.3","Technology","Computer peripheral equipment",""
"B","","MEI","14.51","0.52","cross 2d","13.17","-9.2","33.8","9.3","2","39.1","n","456","-1.46","-25.3","Technology","Electrical Products",""
"B","NEW","PRCH","16.53","2.17","0.47% away, rising","14.34","-13.2","15.2","9.4","2","13.7","Y","547","-1.43","-8.5","Technology","Computer Software: Prepackaged Sof",""
"B","","UFPT","295.65","2.31","cross 2d","254.78","-13.8","17.1","10.0","3","12.2","Y","177","-0.88","-11.7","Health Care","Medical/Dental Instruments",""
"B","NEW","FHI","57.82","4.28","0.37% away, rising","56.36","-2.5","13.1","11.8","2","16.0","n","27","-1.72","-11.6","Finance","Investment Managers",""
"B","NEW","LTH","39.97","8.91","0.48% away, rising","38.19","-4.5","14.4","11.8","1","19.7","n","204","-2.16","-12.6","Consumer Discretionary","Hotels/Resorts",""
"B","","ATEX","81.42","1.59","cross 4d","75.96","-6.7","32.9","12.0","2","24.6","n","494","-1.67","-24.8","Telecommunications","Telecommunications Equipment",""
"B","","ATRO","69.22","2.97","0.16% away, rising","64.94","-6.2","35.0","12.2","2","20.1","n","74","-1.46","-25.9","Industrials","Military/Government/Technical",""
"B","NEW","ATLC","92.5","1.39","cross 1d","89.24","-3.5","20.9","12.8","2","8.4","n","107","-1.41","-17.3","Finance","Finance: Consumer Services",""
"B","","SXI","280.17","3.43","cross 4d","254.92","-9.0","27.7","12.8","2","21.7","n","24","-0.96","-21.7","Industrials","Industrial Machinery/Components",""
"B","","SHOO","45.06","3.24","cross 4d","40.46","-10.2","10.3","13.2","2","13.9","Y","45","-0.41","-8.2","Consumer Discretionary","Shoe Manufacturing",""
"B","NEW","PACS","41.3","6.56","0.46% away, rising","41.05","-0.6","17.3","15.2","3","9.3","n","96","-1.82","-14.8","Health Care","Hospital/Nursing Management",""
"B","","MANU","20.4","3.61","cross 3d","19.69","-3.5","18.6","15.2","2","21.2","n","55","-1.65","-15.7","Consumer Discretionary","Services-Misc. Amusement & Recreat",""
"B","","TKR","117.45","8.12","cross 3d","114.84","-2.2","23.7","16.2","1","9.8","n","31","-1.35","-19.2","Industrials","Metal Fabrications",""
"B","NEW","MCY","99.41","5.44","0.29% away, rising","97.84","-1.6","11.8","16.4","2","8.6","n","22","-1.93","-10.5","Finance","Property-Casualty Insurers",""
"B","","CURB","28.46","3.27","0.19% away, rising","28.16","-1.1","11.6","16.5","1","7.0","n","21","-1.9","-10.4","Finance","Real Estate",""
"B","","ICUI","164.95","4.15","cross 2d","152.65","-7.5","13.5","17.0","3","19.8","n","141","-1.42","-11.9","Health Care","Medical/Dental Instruments",""
"B","NEW","URBN","75.35","6.41","0.53% away, rising","72.65","-3.6","10.1","17.2","3","11.8","n","28","-0.85","-9.2","Consumer Discretionary","Clothing/Shoe/Accessory Stores",""
"B","","PSO","16.13","9.64","cross 3d","15.6","-3.3","10.0","18.1","2","7.2","n","41","-1.18","-8.6","Consumer Discretionary","Books",""
