tier,new,ticker,price,cap_b,macd,exit_40d_low,exit_dist,to_2y_high,overhead,ceilings,base_25d,above_50d,chan_pct_yr,z,off_hi,sector,industry,flags
"A","","DGII","76.75","2.86","cross 4d","65.53","-14.6","11.1","2.0","1","16.2","Y","102","-0.37","-10.0","Telecommunications","Computer Communications Equipment",""
"A","","MCS","28.26","0.86","0.01% away, rising","24.94","-11.7","10.1","4.6","1","14.4","Y","251","-1.03","-9.2","Consumer Discretionary","Movies/Entertainment",""
"A","","GFF","96.54","4.38","0.03% away, rising","86.17","-10.7","11.1","5.0","1","10.9","n","51","-0.73","-10.0","Industrials","Building Products",""
"A","","BJRI","61.96","1.31","cross 2d","58.82","-5.1","19.9","7.2","1","14.4","n","331","-1.79","-16.6","Consumer Discretionary","Restaurants",""
"A","","ODC","92.6","1.3","cross 5d","85.84","-7.3","14.9","8.4","1","7.9","Y","88","-0.85","-13.0","Consumer Discretionary","Miscellaneous manufacturing indust",""
"A","","PSMT","173.18","5.33","cross 4d","167.0","-3.6","14.3","11.0","1","6.1","n","33","-1.07","-12.5","Consumer Discretionary","Department/Specialty Retail Stores",""
"A","","VVX","76.19","2.35","cross 5d","71.91","-5.6","19.2","11.4","1","14.7","n","35","-0.91","-16.1","Consumer Discretionary","Diversified Commercial Services",""
"B","","CAKE","105.05","5.2","0.46% away, rising","89.01","-15.3","11.7","5.2","1","20.3","Y","416","-1.33","-10.4","Consumer Discretionary","Restaurants",""
"B","","IRDM","48.89","5.12","cross 5d","44.36","-9.3","14.0","5.4","3","6.1","Y","72","-0.61","-12.3","Consumer Discretionary","Telecommunications Equipment",""
"B","","TILE","35.19","2.02","0.30% away, rising","33.52","-4.7","11.7","5.6","2","16.2","n","122","-1.76","-10.5","Consumer Discretionary","Home Furnishings",""
"B","","MYE","31.62","1.2","cross 3d","29.77","-5.9","16.2","6.4","2","12.6","n","226","-1.51","-13.9","Industrials","Plastic Products",""
"B","","MITK","18.08","0.8","0.05% away, rising","16.7","-7.6","11.4","6.6","2","14.8","Y","85","-0.92","-10.2","Technology","Computer peripheral equipment",""
"B","","VSXY","83.81","6.65","cross 3d","72.58","-13.4","19.3","6.8","2","25.1","n","320","-1.09","-16.2","Consumer Discretionary","Clothing/Shoe/Accessory Stores",""
"B","","DCO","174.57","2.6","cross 2d","164.5","-5.8","18.6","7.0","2","21.7","n","103","-1.36","-15.7","Industrials","Military/Government/Technical",""
"B","","LIND","27.58","1.79","cross 5d","25.29","-8.3","25.0","7.0","2","26.1","n","236","-1.55","-20.0","Consumer Discretionary","Transportation Services",""
"B","","NVEC","106.65","0.53","cross 4d","97.26","-8.8","25.8","7.4","2","14.4","n","104","-0.7","-20.5","Technology","Semiconductors",""
"B","","MEI","14.56","0.53","0.27% away, rising","12.92","-11.3","33.4","9.1","2","39.1","n","536","-1.53","-25.0","Technology","Electrical Products",""
"B","","KOP","45.96","0.87","cross 2d","44.9","-2.3","13.9","9.2","2","6.4","n","71","-1.54","-12.2","Basic Materials","Forest Products",""
"B","","CMPS","13.09","1.9","cross 5d","10.85","-17.1","16.0","9.6","2","16.0","n","344","-1.37","-13.8","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"B","","UFPT","298.48","2.23","cross 1d","254.78","-14.6","16.0","9.8","3","13.6","Y","182","-0.71","-10.9","Health Care","Medical/Dental Instruments",""
"B","","ATEX","81.33","1.65","cross 2d","75.96","-6.6","33.0","11.8","2","24.6","n","553","-1.76","-24.8","Telecommunications","Telecommunications Equipment",""
"B","","SYRE","87.09","7.77","cross 5d","86.93","-0.2","25.1","12.6","2","25.3","n","200","-1.98","-20.0","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"B","","SXI","279.6","3.4","cross 2d","254.92","-8.8","27.9","12.8","2","22.7","n","29","-1.07","-21.8","Industrials","Industrial Machinery/Components",""
"B","","MANU","20.94","3.53","cross 1d","19.69","-6.0","15.5","13.6","2","22.0","n","62","-1.43","-13.4","Consumer Discretionary","Services-Misc. Amusement & Recreat",""
"B","","AIR","120.56","4.81","0.10% away, rising","112.12","-7.0","27.5","14.4","3","24.1","n","48","-1.53","-21.6","Industrials","Aerospace",""
"B","","CROX","123.44","5.97","cross 5d","108.83","-11.8","19.4","14.4","2","15.6","n","74","-0.92","-12.6","Consumer Discretionary","Shoe Manufacturing",""
"B","","NNBR","3.6","0.32","cross 2d","3.08","-14.4","18.1","15.7","4","18.4","Y","328","-1.09","-12.4","Industrials","Industrial Machinery/Components",""
"B","","ICUI","166.02","4.08","cross 1d","152.65","-8.1","12.8","16.4","3","22.7","n","144","-1.32","-11.3","Health Care","Medical/Dental Instruments",""
"B","","TKR","117.19","8.15","cross 2d","114.84","-2.0","24.0","16.6","2","9.8","n","40","-1.5","-19.4","Industrials","Metal Fabrications",""
"B","","ZGN","12.47","3.34","cross 4d","11.6","-7.0","22.3","16.6","1","19.8","n","26","-1.24","-18.2","Consumer Discretionary","Apparel",""
"B","","GRC","74.65","1.99","cross 3d","71.23","-4.6","22.9","17.2","3","10.2","n","22","-1.11","-18.6","Industrials","Fluid Controls",""
"B","","SHOO","44.23","3.18","cross 2d","40.46","-8.5","12.4","17.2","2","17.0","n","50","-0.76","-9.9","Consumer Discretionary","Shoe Manufacturing",""
"B","","MPTI","74.65","0.32","cross 1d","72.51","-2.9","35.0","17.8","3","16.1","n","34","-1.18","-25.9","Technology","Industrial Machinery/Components",""
"B","","WLY","48.61","2.42","0.17% away, rising","47.02","-3.3","14.6","19.2","3","14.9","n","93","-1.85","-12.8","Consumer Discretionary","Books",""
"B","","MTUS","18.94","0.78","cross 4d","18.64","-1.6","16.3","21.6","3","8.5","n","28","-1.45","-14.0","Industrials","Steel/Iron Ore",""
"B","","PSO","16.02","9.56","cross 1d","15.6","-2.6","10.8","22.0","2","7.2","n","45","-1.42","-9.2","Consumer Discretionary","Books",""
"B","","KFRC","51.35","0.93","0.16% away, rising","51.14","-0.4","21.7","29.6","3","14.7","n","258","-1.9","-15.1","Consumer Discretionary","Professional Services",""
"B","","TRNS","86.13","0.84","cross 3d","81.0","-6.0","54.1","32.7","6","14.2","n","42","-0.98","-11.9","Industrials","Electrical Products",""
"B","","CBRL","51.84","1.06","0.24% away, rising","43.22","-16.6","38.6","34.3","5","35.5","n","442","-1.47","-12.2","Consumer Discretionary","Restaurants",""
"B","","WWW","19.3","1.57","0.45% away, rising","18.06","-6.4","67.9","36.6","5","10.7","n","58","-0.64","-8.2","Consumer Discretionary","Shoe Manufacturing",""
"B","","NOVT","141.53","5.46","cross 1d","132.8","-6.2","29.1","39.8","4","12.4","n","25","-0.98","-16.1","Miscellaneous","Industrial Machinery/Components",""
"B","","IART","15.88","1.21","cross 1d","15.1","-4.9","68.1","44.2","5","14.2","n","203","-1.46","-20.0","Health Care","Medical/Dental Instruments",""
"B","","SKY","85.68","4.64","cross 1d","79.61","-7.1","27.1","44.8","5","13.2","n","54","-0.7","-11.0","Consumer Discretionary","Homebuilding",""
"B","NEW","IPAR","115.79","3.76","cross 2d","109.99","-5.0","24.8","47.6","3","7.1","n","106","-1.05","-9.9","Consumer Discretionary","Package Goods/Cosmetics",""
"B","","NVCR","16.2","1.89","0.30% away, rising","14.84","-8.4","106.2","49.8","5","18.6","n","80","-0.92","-19.0","Health Care","Medical/Dental Instruments",""
"B","","CSW","294.45","4.85","0.11% away, rising","272.61","-7.4","46.7","50.6","6","14.7","n","36","-0.89","-16.2","Industrials","Home Furnishings",""
"B","","TREX","43.22","4.44","0.23% away, rising","42.39","-1.9","84.8","70.5","7","13.1","n","49","-1.48","-13.7","Basic Materials","Forest Products",""
"C","","PK","15.21","3.03","0.26% away, rising","14.34","-5.7","6.3","7.0","1","8.7","Y","144","-1.52","-5.9","Consumer Discretionary","Hotels/Resorts",""
"C","","ORIC","13.18","1.38","cross 1d","10.6","-19.6","11.2","7.6","2","21.7","Y","169","-0.07","-10.0","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"C","","BLZE","13.51","0.87","cross 3d","11.38","-15.7","51.3","8.3","2","37.1","n","2631","-1.72","-33.9","Technology","Computer Software: Prepackaged Sof",""
"C","","AVBP","30.1","1.49","cross 2d","27.65","-8.1","18.4","15.4","3","13.4","n","16","-0.48","-13.4","Health Care","Biotechnology: Pharmaceutical Prep","BIOTECH"
"C","","SIBN","18.52","0.83","0.29% away, rising","17.76","-4.1","15.6","15.8","3","10.6","Y","158","-1.55","-7.2","Health Care","Medical/Dental Instruments",""
