# source: https://api.nasdaq.com/api/screener/stocks?tableonly=true&download=true
# fetched: 2026-09-23T10:34:16-04:00
# rule: market cap 300M-10B, price >= 3.0; no volume rule
ticker,cap_m,sector,industry
CNMD,1356,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,678,Consumer Discretionary,Restaurants
CNO,5028,Finance,Accident &Health Insurance
CNOB,1688,Finance,Major Banks
CNOBP,1371,Finance,Major Banks
CNR,4588,Energy,Coal Mining
CNS,3866,Finance,Investment Managers
CNX,4919,Energy,Oil & Gas Production
CNXC,1796,Technology,Computer Software: Prepackaged Software
CNXN,2205,Consumer Discretionary,Catalog/Specialty Distribution
COAG,1756,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COCO,3472,Consumer Staples,Beverages (Production/Distribution)
CODI,847,Consumer Discretionary,Home Furnishings
COFS,492,Finance,Major Banks
COGT,5501,Health Care,Biotechnology: Pharmaceutical Preparations
COHU,2985,Industrials,Electrical Products
COLB,8298,Finance,Major Banks
COLD,4062,Real Estate,Real Estate Investment Trusts
COLL,755,Health Care,Biotechnology: Pharmaceutical Preparations
COLM,2966,Consumer Discretionary,Apparel
COMP,7098,Finance,Real Estate
CON,4455,Health Care,Medical Specialities
CORZ,6069,Finance,Finance: Consumer Services
CORZW,3888,Finance,Finance: Consumer Services
CORZZ,6022,Finance,Finance: Consumer Services
COSO,317,Finance,Major Banks
COUR,1344,Technology,Computer Software: Prepackaged Software
CPA,5444,Consumer Discretionary,Air Freight/Delivery Services
CPAC,1046,Industrials,Building Materials
CPB,5988,Consumer Staples,Packaged Foods
CPF,949,Finance,Major Banks
CPK,3165,Utilities,Oil & Gas Production
CPRI,1747,Consumer Discretionary,Apparel
CPS,410,Consumer Discretionary,Auto Parts:O.E.M.
CPT,9979,Real Estate,Real Estate Investment Trusts
CRAI,1006,Consumer Discretionary,Other Consumer Services
CRC,4660,Energy,Oil & Gas Production
CRCT,1206,Technology,Industrial Machinery/Components
CRESY,896,Finance,Real Estate
CRGY,4340,Energy,Oil & Gas Production
CRI,1107,Consumer Discretionary,Apparel
CRK,3967,Energy,Oil & Gas Production
CRMD,611,Health Care,Biotechnology: Pharmaceutical Preparations
CRML,1182,Basic Materials,Metal Mining
CRMLW,441,Basic Materials,Metal Mining
CRNC,366,Technology,Computer Software: Prepackaged Software
CRON,1249,Health Care,Medicinal Chemicals and Botanical Products
CROX,5906,Consumer Discretionary,Shoe Manufacturing
CRSP,5609,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRSR,1467,Technology,Computer peripheral equipment
CRTO,803,Consumer Discretionary,Advertising
CRUS,6019,Technology,Semiconductors
CRVL,3732,Finance,Specialty Insurers
CRVS,1086,Health Care,Biotechnology: Pharmaceutical Preparations
CSHR,763,Finance,Investment Bankers/Brokers/Service
CSIQ,764,Technology,Semiconductors
CSQ,3300,Finance,Finance Companies
CSQR,3134,Technology,Computer Software: Programming Data Processing
CSR,930,Real Estate,Real Estate Investment Trusts
CSTL,1060,Health Care,Medical Specialities
CSTM,3326,Industrials,Metal Fabrications
CSV,499,Consumer Discretionary,Other Consumer Services
CSW,4906,Industrials,Home Furnishings
CSWC,1442,Consumer Discretionary,Textiles
CTBI,1359,Finance,Major Banks
CTEV,467,Consumer Discretionary,Business Services
CTGO,623,Basic Materials,Precious Metals
CTKB,755,Industrials,Biotechnology: Laboratory Analytical Instruments
CTNM,493,Health Care,Biotechnology: Pharmaceutical Preparations
CTO,754,Real Estate,Real Estate Investment Trusts
CTOS,2180,Consumer Discretionary,Diversified Commercial Services
CTRE,8804,Real Estate,Real Estate Investment Trusts
CTRI,2019,Utilities,Oil & Gas Production
CTRN,441,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CTS,1672,Technology,Electrical Products
CUB,346,Industrials,Industrial Machinery/Components
CUBB,674,Finance,Major Banks
CUBE,8612,Real Estate,Real Estate Investment Trusts
CUBI,2622,Finance,Major Banks
CURB,3281,Finance,Real Estate
CURR,341,Consumer Discretionary,Business Services
CUZ,4745,Real Estate,Real Estate Investment Trusts
CV,328,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,3910,Finance,Major Banks
CVCO,4194,Consumer Discretionary,Homebuilding
CVEO,348,Consumer Discretionary,Hotels/Resorts
CVI,5207,Energy,Integrated oil Companies
CVLG,861,Industrials,Trucking Freight/Courier Services
CVLT,6015,Technology,Computer Software: Prepackaged Software
CVSA,4162,Real Estate,Other Consumer Services
CWBC,695,Finance,Major Banks
CWCO,453,Utilities,Water Supply
CWEN,5012,Utilities,Electric Utilities: Central
CWH,565,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,2956,Finance,Real Estate
CWST,5393,Utilities,Environmental Services
CWT,2891,Utilities,Water Supply
CXM,1237,Technology,Computer Software: Prepackaged Software
CXT,2789,Industrials,Metal Fabrications
CXW,3082,Real Estate,Real Estate Investment Trusts
CYD,1299,Industrials,Industrial Machinery/Components
CYH,429,Health Care,Hospital/Nursing Management
CYPH,387,Health Care,Biotechnology: Pharmaceutical Preparations
CYRX,878,Health Care,Biotechnology: Pharmaceutical Preparations
CYTK,9189,Health Care,Biotechnology: Pharmaceutical Preparations
CZFS,383,Finance,Major Banks
CZNC,457,Finance,Major Banks
CZR,6021,Consumer Discretionary,Hotels/Resorts
DAC,2803,Consumer Discretionary,Marine Transportation
DAKT,858,Consumer Discretionary,Miscellaneous manufacturing industries
DAN,3168,Consumer Discretionary,Auto Parts:O.E.M.
DAO,1739,Real Estate,Other Consumer Services
DAR,9807,Consumer Staples,Packaged Foods
DAVE,4151,Finance,Finance: Consumer Services
DBD,2170,Miscellaneous,Office Equipment/Supplies/Services
DBI,313,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBRG,2998,Real Estate,Real Estate Investment Trusts
DBVT,736,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,7569,Technology,Computer Software: Prepackaged Software
DC,885,Basic Materials,Metal Mining
DCBG,1040,Finance,Major Banks
DCBO,570,Technology,Computer Software: Prepackaged Software
DCH,1318,Consumer Discretionary,Auto Parts:O.E.M.
DCO,2535,Industrials,Military/Government/Technical
DCOM,1783,Finance,Major Banks
DCTH,562,Health Care,Medical/Dental Instruments
DDD,592,Technology,Computer Software: Prepackaged Software
DDI,647,Technology,EDP Services
DDT,409,Consumer Discretionary,Department/Specialty Retail Stores
DEA,1089,Real Estate,Real Estate Investment Trusts
DEC,1072,,
DEI,1707,Real Estate,Real Estate Investment Trusts
DFH,1057,Consumer Discretionary,Homebuilding
DFIN,1188,Consumer Discretionary,Other Consumer Services
DFTX,5262,Health Care,Medicinal Chemicals and Botanical Products
DGICA,686,Finance,Property-Casualty Insurers
DGICB,664,Finance,Property-Casualty Insurers
DGII,2818,Telecommunications,Computer Communications Equipment
DGXX,425,Finance,Finance: Consumer Services
DHC,1944,Real Estate,Real Estate Investment Trusts
DHCNI,4341,Real Estate,Real Estate Investment Trusts
DHCNL,4542,Real Estate,Real Estate Investment Trusts
DHT,3390,Consumer Discretionary,Marine Transportation
DIN,357,Consumer Discretionary,Restaurants
DIOD,4287,Technology,Semiconductors
DJCO,900,Consumer Discretionary,Newspapers/Magazines
DJT,2525,Technology,Computer Software: Programming Data Processing
DJTWW,1484,Technology,Computer Software: Programming Data Processing
DK,4389,Energy,Integrated oil Companies
DKL,2919,Energy,Natural Gas Distribution
DLB,5553,Miscellaneous,Multi-Sector Companies
DLO,4189,Consumer Discretionary,Business Services
DLX,1094,Consumer Discretionary,Publishing
DLY,632,Finance,Investment Managers
DMAC,408,Health Care,Biotechnology: Pharmaceutical Preparations
DMC,1480,Consumer Staples,Farming/Seeds/Milling
DMLP,1436,Energy,Oil & Gas Production
DMRA,1319,Health Care,Biotechnology: Pharmaceutical Preparations
DNA,585,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNLI,3389,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNOW,2823,Consumer Discretionary,Oil and Gas Field Machinery
DNTH,5419,Health Care,Biotechnology: Pharmaceutical Preparations
DOCS,4750,Technology,EDP Services
DOLE,1242,Consumer Staples,Farming/Seeds/Milling
DOO,4059,Consumer Discretionary,Industrial Specialties
DORM,3518,Consumer Discretionary,Auto Parts:O.E.M.
DOX,6340,Technology,EDP Services
DPC,5908,Telecommunications,Metal Fabrications
DPZ,9611,Consumer Discretionary,Food Distributors
DQ,804,Technology,Semiconductors
DRD,2190,Basic Materials,Precious Metals
DRH,2493,Real Estate,Real Estate Investment Trusts
DRS,9992,Industrials,Industrial Machinery/Components
DRTS,1385,Health Care,Medical/Dental Instruments
DRTSW,390,Health Care,Medical/Dental Instruments
DRUG,594,Health Care,Biotechnology: Pharmaceutical Preparations
DRVN,1998,Consumer Discretionary,Automotive Aftermarket
DSC,315,Technology,Computer Software: Programming Data Processing
DSGN,818,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,1615,Consumer Discretionary,Industrial Specialties
DSGX,6851,Technology,Computer Software: Prepackaged Software
DSL,1026,Finance,Trusts Except Educational Religious and Charitable
DSP,819,Technology,Computer Software: Programming Data Processing
DTB,3223,Utilities,Electric Utilities: Central
DTG,3279,Utilities,Electric Utilities: Central
DTW,3909,Utilities,Electric Utilities: Central
DUOL,6825,Technology,Computer Software: Prepackaged Software
DV,2073,Technology,Computer Software: Programming Data Processing
DX,2971,Real Estate,Real Estate Investment Trusts
DXC,1746,Technology,EDP Services
DXPE,2928,Industrials,Industrial Machinery/Components
DY,8435,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYN,3161,Health Care,Biotechnology: Pharmaceutical Preparations
EAI,8969,Utilities,Electric Utilities: Central
EAT,8497,Consumer Discretionary,Restaurants
EBC,4875,Finance,Savings Institutions
EBF,550,Consumer Discretionary,Office Equipment/Supplies/Services
EBS,350,Health Care,Biotechnology: Pharmaceutical Preparations
ECAT,1567,Finance,Finance/Investors Services
ECCC,1517,Finance,Trusts Except Educational Religious and Charitable
ECCV,1449,Finance,Trusts Except Educational Religious and Charitable
ECG,5959,Consumer Discretionary,Homebuilding
ECO,2993,Consumer Discretionary,Marine Transportation
ECPG,1997,Finance,Finance Companies
ECVT,1147,Industrials,Major Chemicals
EDIT,470,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDN,1054,Utilities,Electric Utilities: Central
EDU,8771,Real Estate,Other Consumer Services
EE,3891,Utilities,Oil/Gas Transmission
EEFT,2435,Finance,Investment Bankers/Brokers/Service
EFC,1626,Finance,Real Estate
EFOR,1329,Consumer Discretionary,Professional Services
EFSC,2186,Finance,Major Banks
EFSCP,612,Finance,Major Banks
EFT,305,Finance,Finance Companies
EFXT,2769,Industrials,Industrial Machinery/Components
EGBN,851,Finance,Major Banks
EGY,620,Energy,Oil & Gas Production
EH,347,Industrials,Aerospace
EIG,868,Finance,Property-Casualty Insurers
EIKN,467,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ELA,327,Consumer Discretionary,Consumer Specialties
ELC,4081,Utilities,Electric Utilities: Central
ELE,1639,Basic Materials,Precious Metals
ELF,5969,Consumer Discretionary,Package Goods/Cosmetics
ELLO,303,Utilities,Electric Utilities: Central
ELMT,625,Industrials,Metal Fabrications
ELPC,9291,Utilities,Electric Utilities: Central
ELVA,330,Miscellaneous,Industrial Machinery/Components
ELVN,3433,Health Care,Biotechnology: Pharmaceutical Preparations
ELVR,745,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
EMAT,2122,Miscellaneous,Industrial Machinery/Components
EMBC,317,Health Care,Medical/Dental Instruments
EMN,7624,Industrials,Major Chemicals
EMP,9123,Utilities,Electric Utilities: Central
ENIC,6073,Utilities,Electric Utilities: Central
ENJ,9001,Utilities,Power Generation
ENO,4443,Utilities,Power Generation
ENOV,1044,Health Care,Industrial Specialties
ENPH,4411,Technology,Semiconductors
ENR,1498,Miscellaneous,Industrial Machinery/Components
ENRD,541,Technology,EDP Services
ENS,6429,Miscellaneous,Industrial Machinery/Components
ENTA,351,Health Care,Biotechnology: Pharmaceutical Preparations
ENVA,4196,Finance,Finance: Consumer Services
EOLS,542,Health Care,Biotechnology: Pharmaceutical Preparations
EOSE,1378,Miscellaneous,Industrial Machinery/Components
EOSEW,1446,Miscellaneous,Industrial Machinery/Components
EPAC,1815,Technology,Industrial Machinery/Components
EPAM,5706,Technology,EDP Services
EPC,1272,Consumer Discretionary,Package Goods/Cosmetics
EPR,4396,Real Estate,Real Estate Investment Trusts
EPRT,5764,Real Estate,Real Estate Investment Trusts
EPRX,551,Health Care,Pharmaceuticals and Biotechnology
EQBK,990,Finance,Major Banks
EQPT,4652,Consumer Discretionary,Diversified Commercial Services
ERAS,5313,Health Care,Biotechnology: Pharmaceutical Preparations
ERII,354,Technology,Industrial Machinery/Components
ERO,3744,Basic Materials,Metal Mining
EROC,2808,Energy,Industrial Machinery/Components
EROK,2949,Energy,Oil & Gas Production
ESAB,4240,Industrials,Industrial Machinery/Components
ESE,6790,Telecommunications,Telecommunications Equipment
ESEA,508,Consumer Discretionary,Marine Transportation
ESI,8479,Industrials,Major Chemicals
ESNT,5928,Finance,Property-Casualty Insurers
ESQ,1456,Finance,Commercial Banks
ESRT,699,Real Estate,Real Estate Investment Trusts
ESTA,2051,Health Care,Industrial Specialties
ESTC,9405,Technology,Computer Software: Prepackaged Software
ETB,458,Finance,Investment Bankers/Brokers/Service
ETD,531,Consumer Discretionary,Home Furnishings
ETO,509,Finance,Investment Managers
ETON,1615,Health Care,Biotechnology: Pharmaceutical Preparations
ETOR,2257,Finance,Investment Bankers/Brokers/Service
ETRA,869,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ETSY,6583,Consumer Discretionary,Business Services
ETV,1684,Finance,Investment Bankers/Brokers/Service
ETW,1058,Finance,Investment Managers
EVC,721,Industrials,Broadcasting
EVCM,1411,Technology,Computer Software: Prepackaged Software
EVER,650,Technology,Computer Software: Programming Data Processing
EVH,416,Consumer Discretionary,Other Consumer Services
EVLV,873,Technology,Computer peripheral equipment
EVMN,336,Health Care,Biotechnology: Pharmaceutical Preparations
EVN,402,Finance,Investment Managers
EVTC,1625,Technology,EDP Services
EWTX,4634,Health Care,Biotechnology: Pharmaceutical Preparations
EXK,2750,Basic Materials,Precious Metals
EXLS,5340,Consumer Discretionary,Business Services
EXP,5517,Industrials,Building Materials
EXPO,3131,Consumer Discretionary,Professional Services
EXTR,2879,Telecommunications,Computer Communications Equipment
EYE,1267,Health Care,Ophthalmic Goods
EYPT,341,Industrials,Biotechnology: Laboratory Analytical Instruments
EZPW,1848,Consumer Discretionary,Other Specialty Stores
FA,3411,Technology,EDP Services
FAC,675,Miscellaneous,Industrial Machinery/Components
FAF,7037,Finance,Specialty Insurers
FBIN,4684,Basic Materials,Forest Products
FBIOP,570,Health Care,Biotechnology: Pharmaceutical Preparations
FBIZ,584,Finance,Major Banks
FBK,2646,Finance,Major Banks
FBNC,2619,Finance,Major Banks
FBP,4106,Finance,Major Banks
FBRT,638,Real Estate,Real Estate Investment Trusts
FBYD,809,Consumer Discretionary,Services-Misc. Amusement & Recreation
FCBC,887,Finance,Major Banks
FCBM,399,Finance,Major Banks
FCCO,308,Finance,Major Banks
FCEL,1398,Energy,Industrial Machinery/Components
FCF,2097,Finance,Major Banks
FCFS,9380,Consumer Discretionary,Other Specialty Stores
FCN,3715,Consumer Discretionary,Professional Services
FCPT,2420,Real Estate,Real Estate Investment Trusts
FDBC,319,Finance,Major Banks
FDMT,852,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FDS,9921,Technology,Computer Software: Programming Data Processing
FDUS,729,Finance,Finance/Investors Services
FEIM,952,Industrials,Electrical Products
FELE,4262,Consumer Discretionary,Metal Fabrications
FENC,378,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FET,936,Consumer Discretionary,Oil and Gas Field Machinery
FFBC,3296,Finance,Major Banks
FFIN,4627,Finance,Major Banks
FG,2895,Finance,Life Insurance
FGBIP,302,Finance,Savings Institutions
FGN,3093,Finance,Life Insurance
FHB,3062,Finance,Major Banks
FHI,4334,Finance,Investment Managers
FIBK,3472,Finance,Major Banks
FIGR,7887,Finance,Finance: Consumer Services
FIGS,2014,Consumer Discretionary,Apparel
FINS,305,Finance,Finance/Investors Services
FINV,763,Finance,Finance: Consumer Services
FIP,369,Industrials,Railroads
FISI,792,Finance,Major Banks
FISN,468,Utilities,Electric Utilities: Central
FIVN,2857,Technology,EDP Services
FIZZ,2896,Consumer Staples,Beverages (Production/Distribution)
FLG,5197,Finance,Banks
FLGT,590,Health Care,Medical Specialities
FLNC,1384,Miscellaneous,Industrial Machinery/Components
FLNG,1683,Consumer Discretionary,Marine Transportation
FLO,1220,Consumer Staples,Packaged Foods
FLOC,1737,Consumer Discretionary,Oil and Gas Field Machinery
FLR,7270,Industrials,Military/Government/Technical
FLS,9841,Industrials,Fluid Controls
FLXS,343,Consumer Discretionary,Home Furnishings
FLY,3830,Industrials,Military/Government/Technical
FLYW,2045,Consumer Discretionary,Business Services
FMAO,486,Finance,Savings Institutions
FMBH,1303,Finance,Major Banks
FMC,1294,Industrials,Major Chemicals
FMN,894,Finance,Investment Managers
FMNB,907,Finance,Major Banks
FNB,6220,Finance,Major Banks
FND,5206,Consumer Discretionary,RETAIL: Building Materials
FNKO,301,Consumer Discretionary,Recreational Games/Products/Toys
FNLC,387,Finance,Major Banks
FOF,611,Finance,Investment Managers
FOIL,1519,Industrials,Industrial Specialties
FOR,1369,Finance,Real Estate
FORM,9859,Technology,Semiconductors
FORTY,1746,Technology,EDP Services
FOSL,368,Consumer Discretionary,Consumer Specialties
FOUR,2971,Consumer Discretionary,Business Services
FOXF,767,Consumer Discretionary,Motor Vehicles
FPH,725,Finance,Real Estate
FPI,469,Real Estate,Real Estate Investment Trusts
FR,8154,Real Estate,Real Estate Investment Trusts
FRA,1578,Finance,Investment Bankers/Brokers/Service
FRBA,443,Finance,Major Banks
FRBT,921,Finance,Major Banks
FRME,2546,Finance,Major Banks
FRMEP,1583,Finance,Major Banks
FRMI,3164,Real Estate,Real Estate Investment Trusts
FRNM,1729,Health Care,Medical Specialities
FRPH,407,Finance,Real Estate
FRPT,2872,Consumer Staples,Packaged Foods
FRSH,3242,Technology,Computer Software: Prepackaged Software
FRST,388,Finance,Major Banks
FRT,9580,Real Estate,Real Estate Investment Trusts
FRVO,4732,Utilities,Electric Utilities: Central
FSBC,1074,Finance,Major Banks
FSBW,346,Finance,Banks
FSCO,1067,Finance,Trusts Except Educational Religious and Charitable
FSK,3109,Finance,Investment Managers
FSLY,3933,Technology,Computer Software: Prepackaged Software
FSM,3545,Basic Materials,Precious Metals
FSS,7000,Industrials,Auto Manufacturing
FSTR,393,Industrials,Metal Fabrications
FSUN,1818,Finance,Major Banks
FSV,5745,Finance,Real Estate
FTAIM,2813,Industrials,Misc Corporate Leasing Services
FTDR,5127,Consumer Discretionary,Diversified Commercial Services
FTH,865,Health Care,Biotechnology: Pharmaceutical Preparations
FTHY,478,Finance,Investment Managers
FTK,1094,Industrials,Major Chemicals
FTRE,1928,Health Care,Medical Specialities
FTW,321,Energy,Oil & Gas Production
FUBO,1079,Consumer Discretionary,Movies/Entertainment
FUL,2696,Industrials,Home Furnishings
FULT,4395,Finance,Major Banks
FULTP,3421,Finance,Major Banks
FUN,1247,Consumer Discretionary,Services-Misc. Amusement & Recreation
FVCB,324,Finance,Major Banks
FVR,439,Real Estate,Real Estate Investment Trusts
FVRR,310,Consumer Discretionary,Business Services
FWDI,602,Finance,Finance: Consumer Services
FWRD,501,Industrials,Integrated Freight & Logistics
FWRG,620,Consumer Discretionary,Restaurants
FXHO,310,Technology,Consumer Electronics/Appliances
G,5683,Consumer Discretionary,Professional Services
GAB,1591,Finance,Investment Managers
GABC,1840,Finance,Major Banks
GAIN,627,Finance,Finance: Consumer Services
GAINZ,926,Finance,Finance: Consumer Services
GALT,414,Health Care,Biotechnology: Pharmaceutical Preparations
GAM,1565,Finance,Investment Managers
GAP,7563,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GASS,335,Consumer Discretionary,Marine Transportation
GATX,6436,Consumer Discretionary,Transportation Services
GBCI,5777,Finance,Major Banks
GBDC,3250,Finance,Finance: Consumer Services
GBLI,375,Finance,Property-Casualty Insurers
GBTG,4944,Consumer Discretionary,Transportation Services
GBX,1317,Industrials,Railroads
GCBC,600,Finance,Banks
GCMG,2663,Finance,Investment Managers
GCO,369,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GCT,1838,Consumer Discretionary,Catalog/Specialty Distribution
GDOT,749,Finance,Finance: Consumer Services
GDRX,1158,Technology,EDP Services
GDS,6620,Technology,Computer Software: Programming Data Processing
GDV,2625,Finance,Investment Managers
GDYN,630,Technology,Computer Software: Prepackaged Software
GEF,3906,,
GEGGL,720,Technology,Computer Software: Prepackaged Software
GEL,1808,Energy,Oil Refining/Marketing
GEMI,746,Finance,Finance: Consumer Services
GENB,2224,Health Care,Biotechnology: Pharmaceutical Preparations
GENI,1610,Consumer Discretionary,Services-Misc. Amusement & Recreation
GEO,3892,Consumer Discretionary,Homebuilding
GFF,4357,Industrials,Building Products
GFR,1527,Energy,Oil & Gas Production
GFUZ,527,Utilities,Electric Utilities: Central
GGAL,6603,Finance,Commercial Banks
GGB,9860,Industrials,Steel/Iron Ore
GHC,4871,Real Estate,Other Consumer Services
GHM,1012,Industrials,Industrial Machinery/Components
GHRS,1864,Health Care,Biotechnology: Pharmaceutical Preparations
GIC,1587,Industrials,Industrial Machinery/Components
GIII,1195,Consumer Discretionary,Apparel
GIL,8473,Consumer Discretionary,Apparel
GILT,768,Technology,Radio And Television Broadcasting And Communications Equipment
GJS,7281,Finance,Finance: Consumer Services
GKOS,9422,Health Care,Medical/Dental Instruments
GLAD,437,Consumer Discretionary,Textiles
GLAS,702,Health Care,Medicinal Chemicals and Botanical Products
GLBE,6915,Technology,Computer Software: Prepackaged Software
GLIBA,949,Telecommunications,Cable & Other Pay Television Services
GLIBK,952,Telecommunications,Cable & Other Pay Television Services
GLNG,5150,Consumer Discretionary,Marine Transportation
GLOB,1508,Technology,EDP Services
GLOO,435,Technology,EDP Services
GLP,1689,Energy,Oil Refining/Marketing
GLRE,492,Finance,Property-Casualty Insurers
GLUE,1056,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GMAB,4551,Health Care,Biotechnology: Pharmaceutical Preparations
GMRS,590,Consumer Discretionary,Transportation Services
GMTL,442,Basic Materials,Metal Mining
GNE,416,Utilities,Power Generation
GNK,1144,Consumer Discretionary,Marine Transportation
GNL,2009,Real Estate,Real Estate Investment Trusts
GNTX,4668,Consumer Discretionary,Auto Parts:O.E.M.
GNW,3658,Finance,Life Insurance
GO,1124,Consumer Staples,Food Chains
GOLD,1242,Industrials,Other Specialty Stores
GOLF,4766,Consumer Discretionary,Recreational Games/Products/Toys
GOOD,613,Real Estate,Real Estate
GOODN,1077,Real Estate,Real Estate
GOODO,983,Real Estate,Real Estate
GOOS,731,Consumer Discretionary,Apparel
GORO,475,Basic Materials,Precious Metals
GPCR,2611,Health Care,Biotechnology: Pharmaceutical Preparations
GPGI,3540,Finance,Finance: Consumer Services
GPI,2966,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
GPK,2891,Consumer Discretionary,Containers/Packaging
GPOR,2821,Energy,Oil & Gas Production
GPRE,1068,Industrials,Major Chemicals
GPRK,725,Energy,Oil & Gas Production
GRAL,4847,Health Care,Medical Specialities
GRBK,2913,Consumer Discretionary,Homebuilding
GRC,1957,Industrials,Fluid Controls
GRDN,2802,Consumer Staples,Retail-Drug Stores and Proprietary Stores
GREEL,396,Finance,Finance: Consumer Services
GRFS,5064,Health Care,Biotechnology: Pharmaceutical Preparations
GRND,2699,Technology,Computer Software: Programming Data Processing
GRNT,600,Energy,Oil & Gas Production
GROY,740,Basic Materials,Precious Metals
GRPN,819,Consumer Discretionary,Advertising
GRRR,391,Technology,Computer Software: Prepackaged Software
GRVY,477,Technology,EDP Services
GSBC,853,Finance,Major Banks
GSBD,1091,Finance,Investment Managers
GSHD,1592,Finance,Specialty Insurers
GSL,1597,Consumer Discretionary,Marine Transportation
GSM,786,Basic Materials,Metal Mining
GT,1527,Consumer Discretionary,Automotive Aftermarket
GTE,355,Energy,Oil & Gas Production
GTES,6625,Industrials,Industrial Machinery/Components
GTLB,8118,Technology,Computer Software: Prepackaged Software
GTM,1124,Technology,Computer Software: Prepackaged Software
GTN,465,Industrials,Broadcasting
GTX,4723,Consumer Discretionary,Auto Parts:O.E.M.
GTY,1790,Finance,Real Estate
GUT,443,Finance,Trusts Except Educational Religious and Charitable
GVA,4920,Industrials,Military/Government/Technical
GXO,5238,Consumer Discretionary,Transportation Services
GYRE,808,Health Care,Biotechnology: Pharmaceutical Preparations
HAE,4973,Health Care,Medical/Dental Instruments
HAFC,943,Finance,Major Banks
HAFN,4573,Consumer Discretionary,Transportation Services
HAPN,1803,Finance,Finance: Consumer Services
HASI,4735,Finance,Finance/Investors Services
HAWK,1556,Technology,EDP Services
HAYW,2720,Industrials,Industrial Machinery/Components
HBB,461,Consumer Discretionary,Home Furnishings
HBCP,534,Finance,Banks
HBNB,1123,Consumer Discretionary,Hotels/Resorts
HBNC,984,Finance,Major Banks
HBT,1286,Finance,Major Banks
HCC,4744,Energy,Coal Mining
HCI,2227,Finance,Property-Casualty Insurers
HCM,2484,Health Care,Biotechnology: Pharmaceutical Preparations
HCMA,400,Consumer Discretionary,Hotels/Resorts
HCSG,1476,Health Care,Hospital/Nursing Management
HCXY,4542,Finance,Investment Managers
HDL,769,Consumer Discretionary,Restaurants
HE,1633,Utilities,Electric Utilities: Central
HELE,669,Consumer Discretionary,Home Furnishings
HELP,830,Health Care,Biotechnology: Pharmaceutical Preparations
HESM,5068,Energy,Oil & Gas Production
HFWA,1156,Finance,Banks
HG,2812,Finance,Property-Casualty Insurers
HGTY,4656,Finance,Specialty Insurers
HGV,2744,Consumer Discretionary,Hotels/Resorts
HHH,3924,Real Estate,Real Estate Investment Trusts
HIFS,643,Finance,Banks
HIMS,6877,Health Care,Medical/Nursing Services
HIMX,2466,Technology,Semiconductors
HIPO,807,Finance,Property-Casualty Insurers
HIVE,944,Finance,Finance: Consumer Services
HIW,3368,Real Estate,Real Estate Investment Trusts
HLF,1251,Health Care,Other Pharmaceuticals
HLI,9125,Finance,Investment Managers
HLIO,2276,Industrials,Metal Fabrications
HLIT,1203,Technology,Radio And Television Broadcasting And Communications Equipment
HLMN,1392,Consumer Discretionary,Industrial Machinery/Components
HLNE,4755,Finance,Investment Managers
HMH,811,Consumer Discretionary,Oil and Gas Field Machinery
HMN,1917,Finance,Property-Casualty Insurers
HNGE,7438,Technology,EDP Services
HNI,3351,Consumer Discretionary,Office Equipment/Supplies/Services
HNRG,690,Utilities,Electric Utilities: Central
HNST,567,Consumer Discretionary,Catalog/Specialty Distribution
HOG,2647,Consumer Discretionary,Motor Vehicles
HOMB,5818,Finance,Major Banks
HOPE,1756,Finance,Major Banks
HOS,1883,Energy,Oilfield Services/Equipment
HOV,699,Consumer Discretionary,Homebuilding
HP,3954,Energy,Oil & Gas Production
HPK,984,Energy,Oil & Gas Production
HPP,649,Finance,Real Estate
HQ,862,Technology,EDP Services
HQH,1037,Finance,Finance Companies
HQL,512,Finance,Investment Managers
HQWWW,415,Technology,EDP Services
HQY,7568,Consumer Discretionary,Business Services
HR,6164,Real Estate,Real Estate Investment Trusts
HRB,5162,Consumer Discretionary,Other Consumer Services
HRI,4727,Industrials,Misc Corporate Leasing Services
HRMY,2424,Health Care,Biotechnology: Pharmaceutical Preparations
HROW,1270,Health Care,Biotechnology: Pharmaceutical Preparations
