# source: https://api.nasdaq.com/api/screener/stocks?tableonly=true&download=true
# fetched: 2026-09-23T10:34:16-04:00
# rule: market cap 300M-10B, price >= 3.0; no volume rule
ticker,cap_m,sector,industry
ALTI,485,Finance,Investment Managers
ALV,8435,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,2243,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,1256,Real Estate,Real Estate Investment Trusts
AMAL,1412,Finance,Major Banks
AMBA,2878,Technology,Semiconductors
AMBP,2645,Industrials,Containers/Packaging
AMBQ,1726,Technology,Semiconductors
AMCX,489,Telecommunications,Cable & Other Pay Television Services
AMG,9416,Finance,Investment Managers
AMLX,4055,Health Care,Biotechnology: Pharmaceutical Preparations
AMN,1332,Consumer Discretionary,Professional Services
AMPH,1046,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,1649,Technology,Computer Software: Prepackaged Software
AMPX,1468,Miscellaneous,Industrial Machinery/Components
AMR,2312,Energy,Coal Mining
AMRC,1251,Consumer Discretionary,Engineering & Construction
AMRX,6764,Health Care,Biotechnology: Pharmaceutical Preparations
AMSC,1508,Consumer Discretionary,Metal Fabrications
AMSF,455,Finance,Property-Casualty Insurers
AMTB,1141,Finance,Major Banks
AMTM,4881,Consumer Discretionary,Business Services
AN,5525,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,1551,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,2276,Industrials,Farming/Seeds/Milling
ANDG,5978,Consumer Discretionary,Business Services
ANF,5562,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANGO,655,Health Care,Medical/Dental Instruments
ANGX,888,Consumer Discretionary,Movies/Entertainment
ANIP,1767,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,1071,Health Care,Biotechnology: Pharmaceutical Preparations
ANNX,763,Health Care,Biotechnology: Pharmaceutical Preparations
ANRO,1170,Health Care,Biotechnology: Pharmaceutical Preparations
AORT,1159,Health Care,Medical/Dental Instruments
AOS,7884,Consumer Discretionary,Consumer Electronics/Appliances
AOSL,821,Technology,Semiconductors
APAM,2902,Finance,Investment Managers
APEI,737,Real Estate,Other Consumer Services
API,364,Technology,Computer Software: Prepackaged Software
APLD,8254,Technology,EDP Services
APLE,3717,Real Estate,Real Estate Investment Trusts
APMD,1008,Health Care,Biotechnology: Pharmaceutical Preparations
APOG,774,Consumer Discretionary,Auto Parts:O.E.M.
APPF,7412,Technology,Computer Software: Prepackaged Software
APPN,2691,Technology,Computer Software: Prepackaged Software
APPS,1433,Miscellaneous,Multi-Sector Companies
APTV,9183,Consumer Discretionary,Auto Parts:O.E.M.
AQN,3937,Utilities,Electric Utilities: Central
AQST,618,Health Care,Biotechnology: Pharmaceutical Preparations
ARCB,2916,Industrials,Trucking Freight/Courier Services
ARCO,1580,Consumer Discretionary,Restaurants
ARCT,400,Health Care,Biotechnology: Pharmaceutical Preparations
ARDT,1550,Health Care,Hospital/Nursing Management
ARDX,875,Health Care,Biotechnology: Pharmaceutical Preparations
ARE,9343,Real Estate,Real Estate Investment Trusts
ARHS,1281,Consumer Discretionary,Other Specialty Stores
